,,before,naive,educated_forward,upper_bound,produced_energy,days
house_2_9T.hdf,dishwasher_power,28.56130226134397,29.31941955128876,33.765809075300254,37.35864669812868,3336697.562353419,347.061038961039
house_2_9T.hdf,washing_machine_power,28.56130226134397,28.943573078485326,29.804947656881204,31.040683364571496,3336697.562353419,347.061038961039
house_8_9T.hdf,tumble_dryer_power,31.00722605177654,31.519781583953268,31.718273596950084,32.24946568215474,3359460.5843676846,352.06728896103897
house_8_9T.hdf,washing_machine_power,31.00722605177654,33.15718384413514,33.824086863748626,36.743006415453806,3359460.5843676846,352.06728896103897
house_9_9T.hdf,dishwasher_power,31.256032225533605,32.87138048292064,35.07401010675074,39.670005601057966,3361018.6910697212,353.2547889610389
house_9_9T.hdf,tumble_dryer_power,31.256032225533605,31.775068822502153,33.386297735120685,35.94356711650958,3361018.6910697212,353.2547889610389
house_9_9T.hdf,washing_machine_power,31.256032225533605,31.66480845061728,32.696209372324766,33.818354956637876,3361018.6910697212,353.2547889610389
house_10_9T.hdf,dishwasher_power,46.25261393737356,46.58608998947691,49.185741091913854,52.1117828132318,3348840.59333288,347.81728896103897
house_10_9T.hdf,washing_machine_power,46.25261393737356,46.60197848969695,48.92156193363975,51.23835589957234,3348840.59333288,347.81728896103897
house_20_9T.hdf,dishwasher_power,32.72164081438239,32.93224886204933,33.978334188923334,34.68586878014599,3366089.4866489675,354.17353896103896
house_20_9T.hdf,tumble_dryer_power,32.72164081438239,32.85134263756885,33.62824088724928,34.92407793752835,3366089.4866489675,354.17353896103896
house_20_9T.hdf,washing_machine_power,32.72164081438239,32.9502863060454,33.27166918712709,33.7733298418761,3366089.4866489675,354.17353896103896
house_18_9T.hdf,dishwasher_power,38.35739666786306,38.51890560520733,40.410256384913616,41.98572682675711,3334746.235987497,348.29228896103893
house_18_9T.hdf,tumble_dryer_power,38.35739666786306,38.35857325441875,38.415071313050575,38.49519518115642,3334746.235987497,348.29228896103893
house_18_9T.hdf,washing_machine_power,38.35739666786306,38.5746025410474,38.77695679146338,39.06230472120392,3334746.235987497,348.29228896103893
house_5_9T.hdf,dishwasher_power,48.79636036341105,50.50629597766983,51.32251219778437,56.112911399284805,3365906.860684631,353.717288961039
house_5_9T.hdf,tumble_dryer_power,48.79636036341105,48.878010099155375,50.202945717411595,54.202320469670326,3365906.860684631,353.717288961039
house_5_9T.hdf,washing_machine_power,48.79636036341105,48.85948295430697,49.653595414976465,51.53241077478814,3365906.860684631,353.717288961039
house_1_9T.hdf,dishwasher_power,29.916161530583075,30.29769808124493,30.58578569053675,31.321838633474407,3315936.7022408857,349.16728896103893
house_1_9T.hdf,tumble_dryer_power,29.916161530583075,29.950065435160134,29.97193667269771,30.10239513704025,3315936.7022408857,349.16728896103893
house_1_9T.hdf,washing_machine_power,29.916161530583075,30.167123943539742,30.358814306766686,31.20197360546044,3315936.7022408857,349.16728896103893
house_19_9T.hdf,washing_machine_power,24.340440906807615,24.455626677925228,24.69070395949903,25.54517470224148,3360699.7271678383,353.436038961039
house_17_9T.hdf,tumble_dryer_power,33.376904739909975,33.40189673252032,33.55872020325958,34.26234858129763,3354593.26132156,353.34853896103897
house_17_9T.hdf,washing_machine_power,33.376904739909975,33.61187236570208,34.164200430648464,34.925434974163764,3354593.26132156,353.34853896103897
house_13_9T.hdf,dishwasher_power,42.099288107724114,42.92137391151369,44.367621821272955,46.28802181652907,3129828.3364264555,315.38468353935224
house_13_9T.hdf,washing_machine_power,42.099288107724114,42.6598457384961,43.39684338944994,44.94506011712449,3129828.3364264555,315.38468353935224
house_4_9T.hdf,washing_machine_power,32.3974222368539,32.50974042830852,32.705997499620544,32.99142372364556,3333738.9306823546,350.8279964011892
house_15_9T.hdf,dishwasher_power,22.829735607382002,22.833179958998436,22.920397398673742,23.01817901862777,3290657.1410751604,341.00478896103897
house_15_9T.hdf,tumble_dryer_power,22.829735607382002,22.834820551477595,23.493289626054885,23.929702752420578,3290657.1410751604,341.00478896103897
house_15_9T.hdf,washing_machine_power,22.829735607382002,23.435550549029085,24.099950639412235,25.217134667789043,3290657.1410751604,341.00478896103897
house_7_9T.hdf,dishwasher_power,35.734870216445636,36.72159467361209,40.54955161328126,44.161878980996946,3322751.127672393,350.29853896103896
house_7_9T.hdf,tumble_dryer_power,35.734870216445636,35.88160100436145,38.13617340216401,42.78902649044811,3322751.127672393,350.29853896103896
house_7_9T.hdf,washing_machine_power,35.734870216445636,37.10704635230001,38.60624602646972,42.051524765688974,3322751.127672393,350.29853896103896
house_6_9T.hdf,dishwasher_power,41.060987802301426,41.104105859808975,41.64935933546912,42.04771981267725,3296674.4581696866,344.85478896103893
house_6_9T.hdf,washing_machine_power,41.060987802301426,41.13305035703358,41.371534387813995,41.681115973204406,3296674.4581696866,344.85478896103893
house_16_9T.hdf,dishwasher_power,39.34586849078898,39.71130934746714,42.71267892068853,44.480211641600405,2947177.9831238454,318.648538961039
house_16_9T.hdf,washing_machine_power,39.34586849078898,39.83314153609611,40.98304328377359,42.75077175535238,2947177.9831238454,318.648538961039
