,,before,naive,educated_forward,upper_bound,produced_energy,days
house_8_10T.hdf,tumble_dryer_power,31.12604171992802,31.634711197839387,31.84159565843165,32.365949357064835,3360068.337610026,352.12318840579707
house_8_10T.hdf,washing_machine_power,31.12604171992802,33.29175757461381,33.99812491861375,36.844747913443356,3360068.337610026,352.12318840579707
house_16_10T.hdf,dishwasher_power,39.538862890709886,39.924985913305925,42.96137367444751,44.66693169155375,2946915.839305862,318.6092995169082
house_16_10T.hdf,washing_machine_power,39.538862890709886,39.9914680437268,41.12758548044117,42.884716735026714,2946915.839305862,318.6092995169082
house_5_10T.hdf,dishwasher_power,48.940346417896514,50.64357261607578,51.613558247985914,56.21183641647929,3366419.3971869573,353.7759661835749
house_5_10T.hdf,tumble_dryer_power,48.940346417896514,49.008852791278365,50.364685728007515,54.31834189812999,3366419.3971869573,353.7759661835749
house_5_10T.hdf,washing_machine_power,48.940346417896514,49.00186152593086,49.81887730831379,51.66152875808092,3366419.3971869573,353.7759661835749
house_7_10T.hdf,dishwasher_power,35.88276268087271,36.86591750880678,40.75591172245605,44.22994469272686,3321198.2647759905,350.3454106280193
house_7_10T.hdf,tumble_dryer_power,35.88276268087271,36.04441178458062,38.314353621547646,42.93720182732933,3321198.2647759905,350.3454106280193
house_7_10T.hdf,washing_machine_power,35.88276268087271,37.29106907729093,38.76643047915524,42.15854253963178,3321198.2647759905,350.3454106280193
house_13_10T.hdf,dishwasher_power,42.195019229029555,42.99072956942175,44.49001413839293,46.36650771749443,3129872.753338878,315.5031884057971
house_13_10T.hdf,washing_machine_power,42.195019229029555,42.70058887137365,43.521186723433345,45.02561097199135,3129872.753338878,315.5031884057971
house_6_10T.hdf,dishwasher_power,41.19211754943665,41.24665849001538,41.750435634217894,42.151566290066214,3298666.9391122386,344.86624396135267
house_6_10T.hdf,washing_machine_power,41.19211754943665,41.25532502620214,41.51341260936371,41.80218208974241,3298666.9391122386,344.86624396135267
house_17_10T.hdf,tumble_dryer_power,33.5231795344122,33.547936527998836,33.7043041428938,34.40141165200009,3354550.931725827,353.38707729468604
house_17_10T.hdf,washing_machine_power,33.5231795344122,33.7639791685342,34.283178288756005,35.05492922861799,3354550.931725827,353.38707729468604
house_1_10T.hdf,dishwasher_power,29.98863157917097,30.370514970089356,30.67371956694785,31.382892957695862,3319740.6787832626,349.2481884057971
house_1_10T.hdf,tumble_dryer_power,29.98863157917097,30.015734258498732,30.041294709328334,30.173880085102045,3319740.6787832626,349.2481884057971
house_1_10T.hdf,washing_machine_power,29.98863157917097,30.242921403608584,30.49246534328216,31.27110600216536,3319740.6787832626,349.2481884057971
house_10_10T.hdf,dishwasher_power,46.35275097530519,46.673140947657735,49.356735158899525,52.180735046738015,3347939.9104966004,347.7967995169082
house_10_10T.hdf,washing_machine_power,46.35275097530519,46.71790146035254,49.04217761220196,51.329824261742004,3347939.9104966004,347.7967995169082
house_15_10T.hdf,dishwasher_power,22.89093676131656,22.895191534345752,22.989238265675432,23.075832091774075,3290881.9607306602,341.01902173913044
house_15_10T.hdf,tumble_dryer_power,22.89093676131656,22.919827713234124,23.566393111605937,23.996391500788803,3290881.9607306602,341.01902173913044
house_15_10T.hdf,washing_machine_power,22.89093676131656,23.500377572080414,24.189825802274402,25.263604375925375,3290881.9607306602,341.01902173913044
house_18_10T.hdf,dishwasher_power,38.43897544965332,38.60176989596905,40.528557776727574,42.05639101202944,3334461.167185684,348.2829106280193
house_18_10T.hdf,tumble_dryer_power,38.43897544965332,38.43831749392633,38.52235112863104,38.5771105819761,3334461.167185684,348.2829106280193
house_18_10T.hdf,washing_machine_power,38.43897544965332,38.65660441718017,38.87397594461058,39.12730049182678,3334461.167185684,348.2829106280193
house_9_10T.hdf,dishwasher_power,31.44205634645401,33.07137323319859,35.29109268753635,39.80764311290484,3361008.013726524,353.27596618357484
house_9_10T.hdf,tumble_dryer_power,31.44205634645401,32.00961424562529,33.63811541450913,36.140761472600694,3361008.013726524,353.27596618357484
house_9_10T.hdf,washing_machine_power,31.44205634645401,31.853219600915605,32.88791614722801,33.99578957776501,3361008.013726524,353.27596618357484
house_19_10T.hdf,washing_machine_power,24.410565110984493,24.545487360503788,24.761657995187658,25.617553130644456,3360856.1678915173,353.47735507246375
house_2_10T.hdf,dishwasher_power,28.802631124942753,29.530273111793107,33.94630136464475,37.48805493131662,3337080.327062236,347.08846618357484
house_2_10T.hdf,washing_machine_power,28.802631124942753,29.16822218282154,29.989516487566924,31.24528679150159,3337080.327062236,347.08846618357484
house_4_10T.hdf,washing_machine_power,32.46152592503524,32.58540047143652,32.80863637318939,33.05869194139247,3333582.5125282807,350.92107487922704
house_20_10T.hdf,dishwasher_power,32.823497335161406,33.03942094104114,33.91703458200105,34.7795885940657,3366220.889327913,354.1926328502416
house_20_10T.hdf,tumble_dryer_power,32.823497335161406,32.965064279681876,33.77873659796412,35.01513555219983,3366220.889327913,354.1926328502416
house_20_10T.hdf,washing_machine_power,32.823497335161406,33.05666439368601,33.38440671792717,33.8596842515618,3366220.889327913,354.1926328502416
